question,retrieval_precision,retrieval_recall,retrieval_mrr,e2e_correct
How can you create multiple test cases for an evaluation in the Anthropic Evaluation tool?,0,0.0,0,True
"What embeddings provider does Anthropic recommend for customized domain-specific models, and what capabilities does this provider offer?",0,0.0,0,False
"What are some key success metrics to consider when evaluating Claude's performance on a classification task, and how do they relate to choosing the right model to reduce latency?",0,0.0,0,False
What are two ways that Claude for Sheets can improve prompt engineering workflows compared to using chained prompts?,0,0.0,0,False
"What happens if a prompt for the Text Completions API is missing the ""\n\nHuman:"" and ""\n\nAssistant:"" turns?",0,0.0,0,False
How do the additional tokens required for tool use in Claude API requests impact pricing compared to regular API requests?,0,0.0,0,False
"When will the new Anthropic Developer Console features that show API usage, billing details, and rate limits be available?",0,0.0,0,False
"When deciding whether to use chain-of-thought (CoT) for a task, what are two key factors to consider in order to strike the right balance between performance and latency?",0,0.0,0,True
How can I use Claude to more easily digest the content of long PDF documents?,0,0.0,0,True
"According to the documentation, where can you view your organization's current API rate limits in the Anthropic Console?",0,0.0,0,False
